Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386
Albania,ALB,"Population, total",SP.POP.TOTL,2866376
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429
American Samoa,ASM,"Population, total",SP.POP.TOTL,55465
Andorra,AND,"Population, total",SP.POP.TOTL,77006
Angola,AGO,"Population, total",SP.POP.TOTL,30809762
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286
Arab World,ARB,"Population, total",SP.POP.TOTL,419790588
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502
Armenia,ARM,"Population, total",SP.POP.TOTL,2951776
Aruba,ABW,"Population, total",SP.POP.TOTL,105845
Australia,AUS,"Population, total",SP.POP.TOTL,24992369
Austria,AUT,"Population, total",SP.POP.TOTL,8847037
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9942334
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385640
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161356039
Barbados,BRB,"Population, total",SP.POP.TOTL,286641
Belarus,BLR,"Population, total",SP.POP.TOTL,9485386
Belgium,BEL,"Population, total",SP.POP.TOTL,11422068
Belize,BLZ,"Population, total",SP.POP.TOTL,383071
Benin,BEN,"Population, total",SP.POP.TOTL,11485048
Bermuda,BMU,"Population, total",SP.POP.TOTL,63968
Bhutan,BTN,"Population, total",SP.POP.TOTL,754394
Bolivia,BOL,"Population, total",SP.POP.TOTL,11353142
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929
Botswana,BWA,"Population, total",SP.POP.TOTL,2254126
Brazil,BRA,"Population, total",SP.POP.TOTL,209469333
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29802
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428962
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7024216
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19751535
Burundi,BDI,"Population, total",SP.POP.TOTL,11175378
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,543767
Cambodia,KHM,"Population, total",SP.POP.TOTL,16249798
Cameroon,CMR,"Population, total",SP.POP.TOTL,25216237
Canada,CAN,"Population, total",SP.POP.TOTL,37058856
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7358965
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64174
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666377
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102511922
Chad,TCD,"Population, total",SP.POP.TOTL,15477751
Channel Islands,CHI,"Population, total",SP.POP.TOTL,170499
Chile,CHL,"Population, total",SP.POP.TOTL,18729160
China,CHN,"Population, total",SP.POP.TOTL,1392730000
Colombia,COL,"Population, total",SP.POP.TOTL,49648685
Comoros,COM,"Population, total",SP.POP.TOTL,832322
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84068091
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5244363
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999441
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25069229
Croatia,HRV,"Population, total",SP.POP.TOTL,4089400
Cuba,CUB,"Population, total",SP.POP.TOTL,11338138
Curacao,CUW,"Population, total",SP.POP.TOTL,159849
Cyprus,CYP,"Population, total",SP.POP.TOTL,1189265
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10625695
Denmark,DNK,"Population, total",SP.POP.TOTL,5797446
Djibouti,DJI,"Population, total",SP.POP.TOTL,958920
Dominica,DMA,"Population, total",SP.POP.TOTL,71625
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10627165
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3249140605
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2328220870
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2081651801
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2056064424
Ecuador,ECU,"Population, total",SP.POP.TOTL,17084357
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,98423595
El Salvador,SLV,"Population, total",SP.POP.TOTL,6420744
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1308974
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Estonia,EST,"Population, total",SP.POP.TOTL,1320884
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1136191
Ethiopia,ETH,"Population, total",SP.POP.TOTL,109224559
Euro area,EMU,"Population, total",SP.POP.TOTL,341783171
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,918793590
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,417797257
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,459865205
European Union,EUU,"Population, total",SP.POP.TOTL,513213363
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48497
Fiji,FJI,"Population, total",SP.POP.TOTL,883483
Finland,FIN,"Population, total",SP.POP.TOTL,5518050
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,515215936
France,FRA,"Population, total",SP.POP.TOTL,66987244
French Polynesia,PYF,"Population, total",SP.POP.TOTL,277679
Gabon,GAB,"Population, total",SP.POP.TOTL,2119275
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2280102
Georgia,GEO,"Population, total",SP.POP.TOTL,3731000
Germany,DEU,"Population, total",SP.POP.TOTL,82927922
Ghana,GHA,"Population, total",SP.POP.TOTL,29767108
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33718
Greece,GRC,"Population, total",SP.POP.TOTL,10727668
Greenland,GRL,"Population, total",SP.POP.TOTL,56025
Grenada,GRD,"Population, total",SP.POP.TOTL,111454
Guam,GUM,"Population, total",SP.POP.TOTL,165768
Guatemala,GTM,"Population, total",SP.POP.TOTL,17247807
Guinea,GIN,"Population, total",SP.POP.TOTL,12414318
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1874309
Guyana,GUY,"Population, total",SP.POP.TOTL,779004
Haiti,HTI,"Population, total",SP.POP.TOTL,11123176
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,780234406
High income,HIC,"Population, total",SP.POP.TOTL,1210312147
Honduras,HND,"Population, total",SP.POP.TOTL,9587522
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7451000
Hungary,HUN,"Population, total",SP.POP.TOTL,9768785
Iceland,ISL,"Population, total",SP.POP.TOTL,353574
India,IND,"Population, total",SP.POP.TOTL,1352617328
Indonesia,IDN,"Population, total",SP.POP.TOTL,267663435
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,81800269
Iraq,IRQ,"Population, total",SP.POP.TOTL,38433600
Ireland,IRL,"Population, total",SP.POP.TOTL,4853506
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84077
Israel,ISR,"Population, total",SP.POP.TOTL,8883800
Italy,ITA,"Population, total",SP.POP.TOTL,60431283
Jamaica,JAM,"Population, total",SP.POP.TOTL,2934855
Japan,JPN,"Population, total",SP.POP.TOTL,126529100
Jordan,JOR,"Population, total",SP.POP.TOTL,9956011
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276499
Kenya,KEN,"Population, total",SP.POP.TOTL,51393010
Kiribati,KIR,"Population, total",SP.POP.TOTL,115847
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25549819
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51635256
Kosovo,XKX,"Population, total",SP.POP.TOTL,1845300
Kuwait,KWT,"Population, total",SP.POP.TOTL,4137309
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6315800
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7061507
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2288665963
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,641357515
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,609013934
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,625569713
Latvia,LVA,"Population, total",SP.POP.TOTL,1926542
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1009662578
Lebanon,LBN,"Population, total",SP.POP.TOTL,6848925
Lesotho,LSO,"Population, total",SP.POP.TOTL,2108132
Liberia,LBR,"Population, total",SP.POP.TOTL,4818977
Libya,LBY,"Population, total",SP.POP.TOTL,6678567
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37910
Lithuania,LTU,"Population, total",SP.POP.TOTL,2789533
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6383958209
Low income,LIC,"Population, total",SP.POP.TOTL,705417321
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3022905169
Luxembourg,LUX,"Population, total",SP.POP.TOTL,607728
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,631636
Madagascar,MDG,"Population, total",SP.POP.TOTL,26262368
Malawi,MWI,"Population, total",SP.POP.TOTL,18143315
Malaysia,MYS,"Population, total",SP.POP.TOTL,31528585
Maldives,MDV,"Population, total",SP.POP.TOTL,515696
Mali,MLI,"Population, total",SP.POP.TOTL,19077690
Malta,MLT,"Population, total",SP.POP.TOTL,483530
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,58413
Mauritania,MRT,"Population, total",SP.POP.TOTL,4403319
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265303
Mexico,MEX,"Population, total",SP.POP.TOTL,126190788
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112640
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,448912859
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,382896715
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,378327628
Middle income,MIC,"Population, total",SP.POP.TOTL,5678540888
Moldova,MDA,"Population, total",SP.POP.TOTL,3545883
Monaco,MCO,"Population, total",SP.POP.TOTL,38682
Mongolia,MNG,"Population, total",SP.POP.TOTL,3170208
Montenegro,MNE,"Population, total",SP.POP.TOTL,622345
Morocco,MAR,"Population, total",SP.POP.TOTL,36029138
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29495962
Myanmar,MMR,"Population, total",SP.POP.TOTL,53708395
Namibia,NAM,"Population, total",SP.POP.TOTL,2448255
Nauru,NRU,"Population, total",SP.POP.TOTL,12704
Nepal,NPL,"Population, total",SP.POP.TOTL,28087871
Netherlands,NLD,"Population, total",SP.POP.TOTL,17231017
New Caledonia,NCL,"Population, total",SP.POP.TOTL,284060
New Zealand,NZL,"Population, total",SP.POP.TOTL,4885500
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6465513
Niger,NER,"Population, total",SP.POP.TOTL,22442948
Nigeria,NGA,"Population, total",SP.POP.TOTL,195874740
North America,NAC,"Population, total",SP.POP.TOTL,364290258
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2082958
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,56882
Norway,NOR,"Population, total",SP.POP.TOTL,5314336
Not classified,INX,"Population, total",SP.POP.TOTL,..
OECD members,OED,"Population, total",SP.POP.TOTL,1303529456
Oman,OMN,"Population, total",SP.POP.TOTL,4829483
Other small states,OSS,"Population, total",SP.POP.TOTL,30758989
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2457367
Pakistan,PAK,"Population, total",SP.POP.TOTL,212215030
Palau,PLW,"Population, total",SP.POP.TOTL,17907
Panama,PAN,"Population, total",SP.POP.TOTL,4176873
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8606316
Paraguay,PRY,"Population, total",SP.POP.TOTL,6956071
Peru,PER,"Population, total",SP.POP.TOTL,31989256
Philippines,PHL,"Population, total",SP.POP.TOTL,106651922
Poland,POL,"Population, total",SP.POP.TOTL,37978548
Portugal,PRT,"Population, total",SP.POP.TOTL,10281762
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1109997273
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,919485393
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3195153
Qatar,QAT,"Population, total",SP.POP.TOTL,2781677
Romania,ROU,"Population, total",SP.POP.TOTL,19473936
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144478050
Rwanda,RWA,"Population, total",SP.POP.TOTL,12301939
Samoa,WSM,"Population, total",SP.POP.TOTL,196130
San Marino,SMR,"Population, total",SP.POP.TOTL,33785
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,211028
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,33699947
Senegal,SEN,"Population, total",SP.POP.TOTL,15854360
Serbia,SRB,"Population, total",SP.POP.TOTL,6982084
Seychelles,SYC,"Population, total",SP.POP.TOTL,96762
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7650154
Singapore,SGP,"Population, total",SP.POP.TOTL,5638676
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40654
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5447011
Slovenia,SVN,"Population, total",SP.POP.TOTL,2067372
Small states,SST,"Population, total",SP.POP.TOTL,40575321
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,652858
Somalia,SOM,"Population, total",SP.POP.TOTL,15008154
South Africa,ZAF,"Population, total",SP.POP.TOTL,57779622
South Asia,SAS,"Population, total",SP.POP.TOTL,1814388744
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1814388744
South Sudan,SSD,"Population, total",SP.POP.TOTL,10975920
Spain,ESP,"Population, total",SP.POP.TOTL,46723749
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21670000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52441
St. Lucia,LCA,"Population, total",SP.POP.TOTL,181889
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,37264
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110210
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1078306520
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1078209758
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1078306520
Sudan,SDN,"Population, total",SP.POP.TOTL,41801533
Suriname,SUR,"Population, total",SP.POP.TOTL,575991
Sweden,SWE,"Population, total",SP.POP.TOTL,10183175
Switzerland,CHE,"Population, total",SP.POP.TOTL,8516543
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16906283
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9100837
Tanzania,TZA,"Population, total",SP.POP.TOTL,56318348
Thailand,THA,"Population, total",SP.POP.TOTL,69428524
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1267972
Togo,TGO,"Population, total",SP.POP.TOTL,7889094
Tonga,TON,"Population, total",SP.POP.TOTL,103197
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1389858
Tunisia,TUN,"Population, total",SP.POP.TOTL,11565204
Turkey,TUR,"Population, total",SP.POP.TOTL,82319724
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5850908
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,37665
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11508
Uganda,UGA,"Population, total",SP.POP.TOTL,42723139
Ukraine,UKR,"Population, total",SP.POP.TOTL,44622516
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9630959
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66488991
United States,USA,"Population, total",SP.POP.TOTL,327167434
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2655635719
Uruguay,URY,"Population, total",SP.POP.TOTL,3449299
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32955400
Vanuatu,VUT,"Population, total",SP.POP.TOTL,292680
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28870195
Vietnam,VNM,"Population, total",SP.POP.TOTL,95540395
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106977
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4569087
World,WLD,"Population, total",SP.POP.TOTL,7594270356
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28498687
Zambia,ZMB,"Population, total",SP.POP.TOTL,17351822
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14439018